Player,Team,Matches,Runs,Average,StrikeRate
Virat Kohli,RCB,237,7263,36.20,129.15
Rohit Sharma,MI,257,6211,29.30,130.61
Shikhar Dhawan,PBKS,222,6244,35.28,127.14
David Warner,DC,176,6397,41.00,139.90
Suresh Raina,CSK,205,5528,32.52,136.76
MS Dhoni,CSK,264,5082,38.79,135.92
AB de Villiers,RCB,184,5162,39.71,151.68
Chris Gayle,PBKS,142,4965,39.72,148.96
Robin Uthappa,KKR,205,4952,27.19,130.30
Gautam Gambhir,KKR,152,4217,31.24,123.88
KL Rahul,LSG,118,4163,46.25,134.64
Ajinkya Rahane,RR,164,4074,30.63,120.13
Faf du Plessis,RCB,141,4133,35.35,132.66
Sanju Samson,RR,153,4123,29.02,135.24
Shreyas Iyer,KKR,120,3733,31.36,124.61
Ambati Rayudu,CSK,204,3684,27.66,124.71
Yusuf Pathan,KKR,174,3204,29.13,138.55
Virender Sehwag,DC,104,2728,29.65,148.13
Manish Pandey,SRH,161,3204,29.13,117.75
Ravindra Jadeja,CSK,226,2692,26.13,127.05
Kane Williamson,SRH,89,2545,42.42,120.06
Jos Buttler,RR,86,3223,40.29,144.39
Quinton de Kock,LSG,113,3159,32.88,135.83
Shubman Gill,GT,86,2790,37.20,127.94
Ishan Kishan,MI,103,2644,29.71,131.30
Rishabh Pant,DC,98,2838,34.61,142.72
Prithvi Shaw,DC,79,1892,25.57,147.66
Devdutt Padikkal,RCB,68,1655,26.27,124.60
Ruturaj Gaikwad,CSK,75,2582,45.30,136.36
Yashasvi Jaiswal,RR,58,1893,35.72,150.60
